"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.327476088645,24.395420349171,118.419176903818,24.4417217765183,10628.3956509346,"days",118.3277872,24.395653,118.4191604,24.4418301,"7:00am","9:38am",17.6,158.7,72.2,26.4,60.1,0.0149316985565968
118.34547362747,24.4297669243763,118.396056694389,24.4933998695097,8743.4216348408,"days",118.3454736,24.4297669,118.3961659,24.4934562,"7:53am","12:58pm",16.6,304.9,77.2,7.7,220,0.0348719314627393
118.321580389756,24.4001138102044,118.423020479537,24.4304461707745,10822.6475723929,"days",118.3214325,24.4001847,118.4231809,24.4303484,"7:00am","9:36am",17.2,156.7,69.2,27.5,60,0.0144788970491583
118.40711282154,24.432404639386,118.228023206841,24.4262012872297,18164.4548573441,"days",118.4067183,24.4332432,118.2864996,24.4150958,"7:12am","9:12am",17.1,149.4,78.2,23.5,47.7,0.00822485459504972
118.469365273313,24.4484769332884,118.34179692589,24.450322039057,12929.0445262723,"days",118.4691337,24.4483348,118.3417716,24.4504278,"7:28am","11:06am",20.6,218.4,99.9,18.4,100.1,0.0168921995400514
118.412734632726,24.4928432347032,118.415135142139,24.4584610369736,3835.12826858992,"days",118.4127215,24.4928606,118.4135251,24.4582856,"7:00am","9:32am",11.6,152.3,47.4,34.6,70.3,0.039711839952617
118.394613508945,24.4511606097741,118.33891810851,24.4353483036573,5912.3903805339,"days",118.3943647,24.4511852,118.3388429,24.4354968,"7:05am","8:17am",7.6,72.1,26.8,30.4,14.9,0.0121947292650674
118.32826274374,24.4045329040601,118.450369206076,24.4357745248084,12856.1290734722,"days",118.3277653,24.4051782,118.4499943,24.4361885,"7:00am","10:38am",25.4,218.5,119.7,8.7,90.1,0.0169957845593555
118.319175751553,24.4507519596696,118.441104405229,24.4967388367117,13372.2053587971,"days",118.3194664,24.4510564,118.4420993,24.4975295,"7:02am","12:45pm",26.2,343.9,125.2,28.7,190,0.0257175230840858
118.317438107609,24.4068134566667,118.352875266664,24.4457336515838,5627.78404898725,"days",118.3174381,24.4068135,118.3520434,24.444745,"7:17am","8:56am",9.5,99.1,40.9,17.6,40.6,0.017609062312516
118.229741109188,24.4219587042678,118.317500460081,24.4371194955265,9053.380707496,"days",118.286415,24.415166,118.3174327,24.4371174,"7:00am","8:37am",6.1,126.6,28.5,8.1,90,0.0139837265315903
118.449597043258,24.4255379595724,118.341435720771,24.4496191577132,11284.8123100147,"days",118.4499323,24.4251468,118.3415921,24.4489131,"7:38am","11:01am",17.9,203.9,82.8,19.9,101.2,0.0180685326790104
118.397513299679,24.4765176981834,118.410738752484,24.5073034413884,3679.63274150528,"days",118.3976159,24.4764378,118.4105252,24.5072921,"","",4.2,51.2,0,51.2,0,0.0139144321177702
118.354507051327,24.4509788937457,118.318096329258,24.4331793023691,4188.31861427049,"days",118.354469,24.4510004,118.3180011,24.4331144,"7:00am","8:08am",5.3,68.3,24,9.3,35,0.0163072598553719
118.239356375598,24.4264224180531,118.327154525535,24.4386069067926,9001.18750261102,"days",118.286415,24.415166,118.3274358,24.4383715,"7:00am","8:43am",6.7,132.7,28.5,14.3,89.9,0.0147424992492943
118.408630783545,24.4926208195173,118.319339053833,24.4361179823455,11019.0550128543,"days",118.4086751,24.4929698,118.3193379,24.4361173,"7:13am","8:38am",14.1,84.6,71,13.2,0.399999999999995,0.00767760936861732
118.322929130274,24.4359620979053,118.421312558584,24.4953546236211,11961.8436491567,"days",118.3231119,24.4361993,118.4208393,24.4959136,"7:03am","10:32am",20.4,209.8,96.9,25.3,87.6,0.0175391023452134
118.38736855665,24.4793289507599,118.428487764455,24.4832876834692,4189.0918100522,"days",118.3872446,24.4793082,118.4287583,24.483367,"7:00am","9:33am",6.5,152.8,23.1,24.7,105,0.0364756865995009
118.381477364084,24.4563581287175,118.451189129809,24.4205586257005,8111.47175507116,"days",118.3815376,24.4564035,118.4513135,24.4197527,"7:07am","9:55am",13.9,168.6,58.1,35.3,75.2,0.0207853771905935
118.322597119119,24.4367201983842,118.298161163252,24.4039612092933,4408.31754631947,"days",118.3223946,24.4366383,118.299884,24.4029767,"7:00am","8:52am",6.5,111.2,23.9,27.2,60.1,0.0252250430763187
118.2558791693,24.4282718613987,118.304335952159,24.400230800916,5819.79796893363,"days",118.2864996,24.4150958,118.3042097,24.3998159,"","",3.1,71,0,41,30,0.0121997362071676
118.303556249791,24.4586866939965,118.439565883534,24.4600513022681,13782.5753399317,"days",118.3031513,24.4585267,118.439042,24.459977,"7:00am","12:00pm",25.5,299.6,129.5,14.8,155.3,0.0217375920400001
